1,0,0,0,0,2,2
1,2,0,0,0,4,3,1
1,0,0,2,0,4,3,1
1,0,2,0,0,6,2
1,1,1,1,0,16,14,2
2,0,0,0,0,176,184,64,8
2,2,0,0,0,1312,1456,576,104,8
2,0,2,0,0,1568,1456,400,32
2,1,1,1,0,10816,11776,4368,656,32
2,0,0,2,0,1312,1456,576,104,8
3,0,0,0,0,74880,90336,40752,8976,1008,48
2,4,0,0,0,384,460,228,67,12,1
2,2,2,0,0,5600,5840,2064,304,16
2,3,1,1,0,6144,7696,3648,844,96,4
2,2,0,2,0,4608,5848,2728,582,56,2
3,2,0,0,0,1264896,1609344,787824,196488,27288,2088,72
2,0,4,0,0,560,472,112,8
2,1,3,1,0,7616,7808,2640,352,16
2,0,2,2,0,5600,5840,2064,304,16
3,0,2,0,0,1406592,1639008,693360,136080,12528,432
2,2,2,2,0,9216,11696,5456,1164,112,4
2,1,1,3,0,6144,7696,3648,844,96,4
2,0,0,4,0,384,460,228,67,12,1
3,1,1,1,0,15413760,19422720,9306144,2215728,279504,17712,432
3,0,0,2,0,1264896,1609344,787824,196488,27288,2088,72
4,0,0,0,0,90408960,121065984,63951360,17759616,2872320,278016,15360,384
3,4,0,0,0,1551744,2094912,1134360,334368,60894,7182,522,18
3,2,2,0,0,15662592,19443456,9136800,2131056,264816,16848,432
3,3,1,1,0,37532160,50800896,27146400,7594752,1221576,114312,5784,120
3,2,0,2,0,13941504,19059840,10276272,2879424,456156,40860,1908,36
4,2,0,0,0,2743787520,3824621568,2140889088,643779072,116086272,13128192,932352,39168,768
3,0,4,0,0,1938816,2187936,881424,161712,13680,432
3,1,3,1,0,42273792,51996672,24025536,5438880,642528,37728,864
3,0,2,2,0,15662592,19443456,9136800,2131056,264816,16848,432
4,0,2,0,0,2956124160,3897759744,2006876160,534483456,80709120,6982656,322560,6144
3,2,2,2,0,113474304,152993664,80922096,22135392,3411468,297252,13572,252
3,1,1,3,0,37532160,50800896,27146400,7594752,1221576,114312,5784,120
3,0,0,4,0,1551744,2094912,1134360,334368,60894,7182,522,18
4,1,1,1,0,44278824960,61398872064,34040469504,10057952256,1756325376,187362816,11990016,420864,6144
4,0,0,2,0,2743787520,3824621568,2140889088,643779072,116086272,13128192,932352,39168,768
5,0,0,0,0,237617971200,343673303040,202717824000,65407180800,12943123200,1655781120,139392000,7603200,249600,3840
3,6,0,0,0,184320,266112,163376,59508,14844,2673,339,27,1
3,4,2,0,0,9507456,12667968,6696840,1884912,313626,31398,1758,42
